PARID,BOROCODE,Postcode,Borough,Latitude,Longitude,NTA,Street_Address
1000800004,1,10007,MANHATTAN,40.711453000000006,-74.010504,Battery Park City-Lower Manhattan,55 CHURCH STREET
1000890003,1,10038,MANHATTAN,40.710764000000005,-74.007708,Battery Park City-Lower Manhattan,26 ANN STREET
1000901201,1,10038,MANHATTAN,40.711393,-74.00666600000001,Battery Park City-Lower Manhattan,5 BEEKMAN STREET
1000901202,1,10038,MANHATTAN,40.710962,-74.00686400000001,Battery Park City-Lower Manhattan,123 NASSAU STREET
1000920014,1,10038,MANHATTAN,40.710306,-74.006828,Battery Park City-Lower Manhattan,49 ANN STREET
1000921001,1,10038,MANHATTAN,40.71055,-74.005771,Battery Park City-Lower Manhattan,33 BEEKMAN STREET
1000921002,1,10038,MANHATTAN,40.71055,-74.005771,Battery Park City-Lower Manhattan,33 BEEKMAN STREET
1000921003,1,10038,MANHATTAN,40.71055,-74.005771,Battery Park City-Lower Manhattan,33 BEEKMAN STREET
1001060017,1,10038,MANHATTAN,40.709021,-74.00227199999999,Battery Park City-Lower Manhattan,320 PEARL STREET
1001070038,1,10038,MANHATTAN,40.707962,-74.001706,Battery Park City-Lower Manhattan,29 PECK SLIP
1001231101,1,10007,MANHATTAN,40.712987,-74.008686,SoHo-TriBeCa-Civic Center-Little Italy,30 PARK PLACE
1001361401,1,10007,MANHATTAN,40.715205,-74.009476,SoHo-TriBeCa-Civic Center-Little Italy,85 WEST BROADWAY
1001450012,1,10007,MANHATTAN,40.715309000000005,-74.00875500000001,SoHo-TriBeCa-Civic Center-Little Italy,125 CHAMBERS STREET
1001460023,1,10013,MANHATTAN,40.716114000000005,-74.00737,SoHo-TriBeCa-Civic Center-Little Italy,130 DUANE STREET
1001640009,1,10013,MANHATTAN,40.715002,-73.999628,Chinatown,46 MULBERRY STREET
1001720020,1,10013,MANHATTAN,40.716968,-74.00188299999999,SoHo-TriBeCa-Civic Center-Little Italy,76 LAFAYETTE STREET
1001870016,1,10013,MANHATTAN,40.719783,-74.010227,SoHo-TriBeCa-Civic Center-Little Italy,377 GREENWICH STREET
1001910001,1,10013,MANHATTAN,40.719128000000005,-74.005166,SoHo-TriBeCa-Civic Center-Little Italy,2 AVENUE OF THE AMER
1001950007,1,10013,MANHATTAN,40.718488,-74.00264399999999,SoHo-TriBeCa-Civic Center-Little Italy,396 BROADWAY
1001960009,1,10013,MANHATTAN,40.719358,-74.00190500000001,SoHo-TriBeCa-Civic Center-Little Italy,416 BROADWAY
1001960024,1,10013,MANHATTAN,40.718096,-74.00133100000001,SoHo-TriBeCa-Civic Center-Little Italy,88 WALKER STREET
1002020023,1,10013,MANHATTAN,40.715763,-73.996378,Chinatown,50 BOWERY
1002030017,1,10013,MANHATTAN,40.717321999999996,-73.99557,SoHo-TriBeCa-Civic Center-Little Italy,140 HESTER STREET
1002090019,1,10013,MANHATTAN,40.719084,-73.999953,SoHo-TriBeCa-Civic Center-Little Italy,138 LAFAYETTE STREET
1002090024,1,10013,MANHATTAN,40.718515999999994,-74.000635,SoHo-TriBeCa-Civic Center-Little Italy,251 CANAL STREET
1002110029,1,10013,MANHATTAN,40.721,-74.004152,SoHo-TriBeCa-Civic Center-Little Italy,370 CANAL STREET
1002120045,1,10013,MANHATTAN,40.721068,-74.005758,SoHo-TriBeCa-Civic Center-Little Italy,2 YORK STREET
1002270028,1,10013,MANHATTAN,40.721634,-74.004412,SoHo-TriBeCa-Civic Center-Little Italy,306 WEST BROADWAY
1002270052,1,10013,MANHATTAN,40.722827,-74.004726,SoHo-TriBeCa-Civic Center-Little Italy,27 GRAND STREET
1002330002,1,10013,MANHATTAN,40.719904,-74.00030699999999,SoHo-TriBeCa-Civic Center-Little Italy,9 CROSBY STREET
1002340011,1,10013,MANHATTAN,40.719891,-73.99875899999999,SoHo-TriBeCa-Civic Center-Little Italy,159 GRAND STREET
1002390020,1,10013,MANHATTAN,40.718128,-73.99499300000001,SoHo-TriBeCa-Civic Center-Little Italy,116 BOWERY
1002390029,1,10013,MANHATTAN,40.717821,-73.99515500000001,SoHo-TriBeCa-Civic Center-Little Italy,104 BOWERY
1002740024,1,10002,MANHATTAN,40.712433000000004,-73.99273199999999,Chinatown,154 MADISON STREET
1002790015,1,10038,MANHATTAN,40.712875,-73.998586,Chinatown,59 ST JAMES PLACE
1002820023,1,10002,MANHATTAN,40.713149,-73.99298399999999,Chinatown,95 HENRY STREET
1002820031,1,10002,MANHATTAN,40.713761,-73.993666,Chinatown,91 EAST BROADWAY
1002820080,1,10002,MANHATTAN,40.714299,-73.993723,Chinatown,79 DIVISION STREET
1002921110,1,10002,MANHATTAN,40.715389,-73.99353599999999,Chinatown,86 CANAL STREET
1002930019,1,10002,MANHATTAN,40.714771,-73.99265600000001,Chinatown,5 ALLEN STREET
1002940007,1,10002,MANHATTAN,40.715018,-73.992313,Chinatown,60 CANAL STREET
1003030015,1,10002,MANHATTAN,40.717132,-73.99550500000001,Chinatown,91 BOWERY
1003030025,1,10002,MANHATTAN,40.716525,-73.994647,Chinatown,61 CHRYSTIE STREET
1003030035,1,10002,MANHATTAN,40.715916,-73.995127,Chinatown,125 CANAL STREET
1003040004,1,10002,MANHATTAN,40.717607,-73.995245,Chinatown,101 BOWERY
1003040016,1,10002,MANHATTAN,40.718403,-73.994665,Chinatown,237 GRAND STREET
1003060029,1,10002,MANHATTAN,40.717044,-73.992547,Chinatown,79 ELDRIDGE STREET
1003480036,1,10002,MANHATTAN,40.717969000000004,-73.986458,Lower East Side,150 DELANCEY STREET
1004091101,1,10002,MANHATTAN,40.718559,-73.99,Chinatown,100 ORCHARD STREET
1004091102,1,10002,MANHATTAN,40.718559,-73.99,Chinatown,100 ORCHARD STREET
1004100048,1,10002,MANHATTAN,40.719967,-73.988023,Chinatown,107 RIVINGTON STREET
1004101001,1,10002,MANHATTAN,40.719111,-73.988864,Chinatown,101 LUDLOW STREET
1004110041,1,10002,MANHATTAN,40.720362,-73.9882,Chinatown,136 LUDLOW STREET
1004120048,1,10002,MANHATTAN,40.721810999999995,-73.98746700000001,Chinatown,180 LUDLOW STREET
1004121003,1,10002,MANHATTAN,40.721853,-73.988304,Chinatown,180 ORCHARD STREET
1004130041,1,10002,MANHATTAN,40.718095,-73.990938,Chinatown,88 ALLEN STREET
1004150067,1,10002,MANHATTAN,40.720040999999995,-73.98926,Chinatown,139 ORCHARD STREET
1004150077,1,10002,MANHATTAN,40.719454,-73.98956,Chinatown,119 ORCHARD STREET
1004160058,1,10002,MANHATTAN,40.721043,-73.988748,Chinatown,163 ORCHARD STREET
1004170011,1,10002,MANHATTAN,40.723137,-73.989303,Chinatown,151 EAST HOUSTON STREET
1004171002,1,10002,MANHATTAN,40.722248,-73.988899,Chinatown,190 ALLEN STREET
1004180036,1,10002,MANHATTAN,40.718707,-73.99268000000001,Chinatown,108 FORSYTH STREET
1004220047,1,10002,MANHATTAN,40.723382,-73.990144,Chinatown,135 EAST HOUSTON STREET
1004230008,1,10002,MANHATTAN,40.719051,-73.994553,Chinatown,143 BOWERY
1004250004,1,10002,MANHATTAN,40.720741,-73.993864,Chinatown,189 BOWERY
1004250023,1,10002,MANHATTAN,40.721337,-73.992561,Chinatown,11 RIVINGTON STREET
1004260005,1,10002,MANHATTAN,40.721949,-73.993402,Chinatown,223 BOWERY
1004260017,1,10002,MANHATTAN,40.722747999999996,-73.99310600000001,Chinatown,245 BOWERY
1004271601,1,10002,MANHATTAN,40.722786,-73.99146400000001,Chinatown,215 CHRYSTIE STREET
1004510039,1,10003,MANHATTAN,40.728269,-73.984803,East Village,147 1 AVENUE
1004570009,1,10003,MANHATTAN,40.725465,-73.991879,East Village,1 EAST 2 STREET
1004580006,1,10003,MANHATTAN,40.726046999999994,-73.991908,East Village,335 BOWERY
1004610003,1,10003,MANHATTAN,40.727751,-73.9912,East Village,25 COOPER SQUARE
1004610006,1,10003,MANHATTAN,40.728171,-73.990897,East Village,35 COOPER SQUARE
1004620018,1,10003,MANHATTAN,40.72821,-73.98868900000001,East Village,38 EAST 7 STREET
1004630007,1,10003,MANHATTAN,40.729279999999996,-73.990085,East Village,71 COOPER SQUARE
1004649006,1,10003,MANHATTAN,40.729793,-73.989703,East Village,29 3 AVENUE
1004650001,1,10003,MANHATTAN,40.729807,-73.989692,East Village,31 3 AVENUE
1004670001,1,10003,MANHATTAN,40.731415000000005,-73.98853299999999,East Village,67 3 AVENUE
1004700050,1,10013,MANHATTAN,40.719251,-73.994495,SoHo-TriBeCa-Civic Center-Little Italy,146 BOWERY
1004700053,1,10013,MANHATTAN,40.719018,-73.994589,SoHo-TriBeCa-Civic Center-Little Italy,138 BOWERY
1004710055,1,10013,MANHATTAN,40.719193,-73.996883,SoHo-TriBeCa-Civic Center-Little Italy,196 GRAND STREET
1004730017,1,10013,MANHATTAN,40.721524,-73.999278,SoHo-TriBeCa-Civic Center-Little Italy,431 BROOME STREET
1004770068,1,10013,MANHATTAN,40.723687,-74.005372,SoHo-TriBeCa-Civic Center-Little Italy,52 WATTS STREET
1004790029,1,10012,MANHATTAN,40.720687,-73.995173,SoHo-TriBeCa-Civic Center-Little Italy,30 KENMARE STREET
1004810001,1,10013,MANHATTAN,40.720733,-73.997388,SoHo-TriBeCa-Civic Center-Little Italy,400 BROOME STREET
1004880003,1,10012,MANHATTAN,40.724183000000004,-74.003196,SoHo-TriBeCa-Civic Center-Little Italy,60 THOMPSON STREET
1004911201,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911202,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911203,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911204,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911205,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911206,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911207,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911208,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911209,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911210,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911211,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911212,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
