,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,Taqueria al Pastor,5.0,65,128 Wyckoff Ave,11237,https://www.yelp.com/biz/taqueria-al-pastor-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.703326,-73.918029
1,Dun Huang - East Village,4.5,345,300 E 12th St,10003,https://www.yelp.com/biz/dun-huang-east-village-new-york-8?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.73081,-73.98568
2,My Sushi,4.5,90,7920 Eliot Ave,11379,https://www.yelp.com/biz/my-sushi-middle-village-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.724807980357,-73.8793373825363
3,Seva Indian Cuisine,4.5,1219,3007 34th St,11103,https://www.yelp.com/biz/seva-indian-cuisine-astoria-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7653633,-73.9191014
4,Balade - Your Way,4.5,352,144 West 37th St,10018,https://www.yelp.com/biz/balade-your-way-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7524299621582,-73.9887237548828
5,Housing Works Bookstore Café & Bar,4.5,578,126 Crosby St,10012,https://www.yelp.com/biz/housing-works-bookstore-caf%C3%A9-and-bar-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.72454,-73.9965931
6,The Bosphorus,4.5,462,226 Franklin Ave,07110,https://www.yelp.com/biz/the-bosphorus-nutley-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.8152626921391,-74.1618162766099
7,Omani,4.5,240,160-42 Willets Point Blvd,11357,https://www.yelp.com/biz/omani-whitestone?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.780535,-73.801869
8,Cafe Mogador,4.5,1170,133 Wythe Ave,11211,https://www.yelp.com/biz/cafe-mogador-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.719747,-73.959993
9,Cemitas El Tigre,4.5,224,45-14 48th Ave,11377,https://www.yelp.com/biz/cemitas-el-tigre-sunnyside-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7391913,-73.9198491
10,Omar's Mediterranean East Midtown,4.5,605,154 E 55th St,10022,https://www.yelp.com/biz/omars-mediterranean-east-midtown-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.75905,-73.969273
11,Boris & Horton,4.5,177,195 Ave A,10009,https://www.yelp.com/biz/boris-and-horton-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7292599,-73.98138
12,SIMÒ PIZZA,4.5,137,90-92 Gansevoort St,10014,https://www.yelp.com/biz/sim%C3%B2-pizza-new-york-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7392597584612,-74.0088130692187
13,Doaba Deli,4.5,225,945 Columbus Ave,10025,https://www.yelp.com/biz/doaba-deli-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7994,-73.9624
14,K Rico Steakhouse,4.5,598,772 9th Ave,10019,https://www.yelp.com/biz/k-rico-steakhouse-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.764345,-73.98798
15,NORMA Gastronomia Siciliana,4.5,398,438 3rd Ave,10016,https://www.yelp.com/biz/norma-gastronomia-siciliana-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.743553,-73.980026
16,Gabriel Kreuther,4.5,423,41 W 42nd St,10036,https://www.yelp.com/biz/gabriel-kreuther-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.754546,-73.982556
17,Little Collins,4.5,827,667 Lexington Ave,10022,https://www.yelp.com/biz/little-collins-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.759912,-73.96964
18,Momofuku Ko,4.5,311,8 Extra Pl,10003,https://www.yelp.com/biz/momofuku-ko-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.724776,-73.991682
19,Umi Sushi,4.5,642,177-13 Union Tpke,11366,https://www.yelp.com/biz/umi-sushi-fresh-meadows?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7261983305216,-73.790670633316
20,Buntopia,4.5,295,994 Broadway,11221,https://www.yelp.com/biz/buntopia-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.69598,-73.93398
21,Spice Symphony,4.5,487,150 E 50th St,10022,https://www.yelp.com/biz/spice-symphony-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7558937072754,-73.9715347290039
22,Mitsuwa Marketplace,4.5,1643,595 River Rd,07020,https://www.yelp.com/biz/mitsuwa-marketplace-edgewater-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.8158107608922,-73.9801246070119
23,Benjamin Prime,4.5,308,23 E 40th St,10016,https://www.yelp.com/biz/benjamin-prime-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7514936031,-73.9798496845097
24,Belle Harlem,4.5,149,2363 Adam Clayton Powell Blvd,10030,https://www.yelp.com/biz/belle-harlem-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.8173,-73.94171
25,Chef's Table at Brooklyn Fare,4.5,523,431 W 37th St,10018,https://www.yelp.com/biz/chefs-table-at-brooklyn-fare-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7561930774282,-73.9966090932068
26,Andris Cuban Sandwich King,4.5,101,484 Stuyvesant Ave,07071,https://www.yelp.com/biz/andris-cuban-sandwich-king-lyndhurst?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.8091485,-74.1297321
27,Bang Cookies,4.5,270,1183 Summit Ave,07307,https://www.yelp.com/biz/bang-cookies-jersey-city-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.75567,-74.04607
28,Pause Cafe,4.5,400,3 Clinton St,10002,https://www.yelp.com/biz/pause-cafe-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.72123,-73.98408
29,Fish Cheeks,4.5,651,55 Bond St,10012,https://www.yelp.com/biz/fish-cheeks-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7258,-73.9927
30,Sashimi Express II,4.5,88,223 E 74th St,10021,https://www.yelp.com/biz/sashimi-express-ii-new-york-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.77068,-73.95849
31,Pates Et Traditions,4.5,839,52 Havemeyer St,11211,https://www.yelp.com/biz/pates-et-traditions-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.714885,-73.954698
32,Ramen Ishida,4.5,187,122 Ludlow St,10002,https://www.yelp.com/biz/ramen-ishida-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7196298,-73.988366
33,Pommes Frites,4.5,917,128 Macdougal St,10012,https://www.yelp.com/biz/pommes-frites-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.730022,-74.000152
34,Camellia,4.5,148,155 3rd Ave,10003,https://www.yelp.com/biz/camellia-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.73415,-73.98633
35,Rombiolo Bakery Cafe,4.5,73,119 Broughton Ave,07003,https://www.yelp.com/biz/rombiolo-bakery-cafe-bloomfield?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.814574,-74.1867955
36,The MasalaWala,4.5,1482,179 Essex St,10002,https://www.yelp.com/biz/the-masalawala-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.72191,-73.98666
37,Bigoi Venezia,4.5,252,1415 2nd Ave,10021,https://www.yelp.com/biz/bigoi-venezia-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.770036,-73.9577755
38,Taqueria Tlaxcalli,4.5,619,2103 Starling Ave,10462,https://www.yelp.com/biz/taqueria-tlaxcalli-bronx-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.83624,-73.854962
39,Tacos El Bronco II,4.5,131,White Plains Rd & Lydig Ave,10462,https://www.yelp.com/biz/tacos-el-bronco-ii-bronx?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.85453,-73.86769
40,Menkoi Sato,4.5,183,7 Cornelia St,10014,https://www.yelp.com/biz/menkoi-sato-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7316536618558,-74.0017022376845
41,Tomiño Taberna Gallega,4.5,250,192 Grand St,10013,https://www.yelp.com/biz/tomi%C3%B1o-taberna-gallega-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7192978908919,-73.9969160361937
42,The Blue Light Speak Cheesy,5.0,67,1112 Bedford Ave,11216,https://www.yelp.com/biz/the-blue-light-speak-cheesy-brooklyn-9?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.686655,-73.954816
43,Taiyaki NYC - Williamsburg,4.5,200,294 Bedford Ave,11249,https://www.yelp.com/biz/taiyaki-nyc-williamsburg-brooklyn-6?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7143691,-73.9615536
44,Leo's Deli Sandwich Shop,5.0,65,1153 Forest Ave,10310,https://www.yelp.com/biz/leos-deli-sandwich-shop-staten-island-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.626865,-74.128494
45,Madre,5.0,57,214 Franklin St,11222,https://www.yelp.com/biz/madre-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.73311,-73.95798
46,Los Tacos No. 1,4.5,160,136 Church St,10007,https://www.yelp.com/biz/los-tacos-no-1-new-york-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.714282,-74.008675
47,Tavern 157,4.5,389,157-12 Northern Blvd,11354,https://www.yelp.com/biz/tavern-157-flushing-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7634836392041,-73.807817278102
48,Rubirosa,4.5,2248,235 Mulberry St,10012,https://www.yelp.com/biz/rubirosa-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.722766,-73.996233
49,Hooked JC,4.5,523,467 Communipaw Ave,07304,https://www.yelp.com/biz/hooked-jc-jersey-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7146930849064,-74.0670708676607
