,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,Fedoroff's Roast Pork,4.5,232,178 N 10th St,11211,https://www.yelp.com/biz/fedoroffs-roast-pork-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7189526,-73.9555245
1,The Greeks,4.5,86,461 Elm St,07032,https://www.yelp.com/biz/the-greeks-kearny?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.76929,-74.14145
2,MAKIINNY,5.0,48,32 E7th St,10003,https://www.yelp.com/biz/makiinny-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.72831,-73.98914
3,Cafe Triskell,4.5,437,33-04 36th Ave,11106,https://www.yelp.com/biz/cafe-triskell-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7557027855819,-73.9280135680406
4,South Brooklyn Foundry,4.5,269,6909 3rd Ave,11209,https://www.yelp.com/biz/south-brooklyn-foundry-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.63539,-74.02602
5,ROKC,4.5,410,3452 Broadway,10031,https://www.yelp.com/biz/rokc-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.8235051,-73.9522425
6,Bolivian Llama Party,4.5,351,1000 S 8th Ave,10019,https://www.yelp.com/biz/bolivian-llama-party-new-york-7?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.694983,-73.991036
7,Wabi Sabi,4.5,226,407 Broad St,07003,https://www.yelp.com/biz/wabi-sabi-bloomfield?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.80736,-74.1921
8,Calle Dao - Bryant Park,4.0,1754,38 W 39th St,10018,https://www.yelp.com/biz/calle-dao-bryant-park-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7522888979927,-73.9841403450024
9,Java Day Cafe,4.5,313,16009 Northern Blvd,11358,https://www.yelp.com/biz/java-day-cafe-flushing?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7629753,-73.8052998
10,Forlini's Restaurant,4.5,446,93 Baxter St,10013,https://www.yelp.com/biz/forlinis-restaurant-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.71695,-73.99957
11,Ahimsa Garden,4.5,123,265 E 10th St,10009,https://www.yelp.com/biz/ahimsa-garden-new-york-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.728491,-73.983178
12,Razzoli's Little Italy,5.0,46,599 Ridge Rd,07031,https://www.yelp.com/biz/razzolis-little-italy-north-arlington-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7978559929629,-74.1266079828033
13,Dunhuang Lanzhou Beef Noodle,4.5,310,136-93 37th Ave,11354,https://www.yelp.com/biz/dunhuang-lanzhou-beef-noodle-flushing?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7624444092074,-73.8277914002538
14,Don Chingon,4.5,350,216 Flatbush Ave,11217,https://www.yelp.com/biz/don-chingon-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6810431221494,-73.9752403260395
15,Luigi's Pizza,4.5,334,686 5th Ave,11215,https://www.yelp.com/biz/luigis-pizza-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.66163,-73.99334
16,Indian Accent,4.5,571,123 W 56th St,10019,https://www.yelp.com/biz/indian-accent-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7643344624229,-73.9787312885132
17,Mom's Kitchen & Bar,4.5,729,701 9th Ave,10019,https://www.yelp.com/biz/moms-kitchen-and-bar-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.76247,-73.9901
18,Brothers Taverna,4.5,172,23-01 Steinway St,11105,https://www.yelp.com/biz/brothers-taverna-astoria-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.770927,-73.908159
19,Cafe Patoro,4.5,172,223 Front St,10038,https://www.yelp.com/biz/cafe-patoro-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7072720974983,-74.0023160353303
20,Lioni Italian Heroes,4.5,367,7803 15th Ave,11228,https://www.yelp.com/biz/lioni-italian-heroes-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.61572,-74.00482
21,Handsome Rice,4.5,99,133 E 31st St,10016,https://www.yelp.com/biz/handsome-rice-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.74466,-73.98123
22,Pelicana Chicken - Flushing,4.5,844,41-23 162nd St,11358,https://www.yelp.com/biz/pelicana-chicken-flushing-flushing?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.76075,-73.803787
23,Taboonette,4.5,857,30 E 13th St,10003,https://www.yelp.com/biz/taboonette-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7346038818359,-73.9928283691406
24,Modern Love Brooklyn,4.5,503,317 Union Ave,11211,https://www.yelp.com/biz/modern-love-brooklyn-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.70983,-73.95109
