,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,The Factory Bar & Restaurant,4.5,119,1612 Madison St,11385,https://www.yelp.com/biz/the-factory-bar-and-restaurant-ridgewood?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6988448,-73.9091341
1,Il Tinello Ristorante Italiano,4.5,279,16 W 56th St,10019,https://www.yelp.com/biz/il-tinello-ristorante-italiano-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.76256,-73.97566
2,Postmark Cafe,4.5,191,326 6th St,11215,https://www.yelp.com/biz/postmark-cafe-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6710865,-73.9852
3,Ise Restaurant,4.5,460,63 Cooper Sq,10003,https://www.yelp.com/biz/ise-restaurant-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7291024,-73.9900618
4,The Rag Trader & Bo Peep Cocktail and Highball Store,4.5,444,70 W 36th St,10018,https://www.yelp.com/biz/the-rag-trader-and-bo-peep-cocktail-and-highball-store-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.75059,-73.98628
5,Charter Coffeehouse,4.5,89,309 Graham Ave,11211,https://www.yelp.com/biz/charter-coffeehouse-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.713329,-73.944478
6,Chuan Tian Xia 川天下,4.5,150,5502 7th Ave,11220,https://www.yelp.com/biz/chuan-tian-xia-%E5%B7%9D%E5%A4%A9%E4%B8%8B-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6397,-74.009131
7,The Wayland,4.5,496,700 E 9th St,10009,https://www.yelp.com/biz/the-wayland-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7251,-73.9778
8,Greecologies,4.5,413,379 Broome St,10013,https://www.yelp.com/biz/greecologies-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.720387,-73.996581
9,Pastosa Ravioli,4.5,92,7425 New Utrecht Ave,11204,https://www.yelp.com/biz/pastosa-ravioli-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.61583,-73.99969
