,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,Loi Estiatorio,4.5,359,132 W 58th St,10019,https://www.yelp.com/biz/loi-estiatorio-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.765385,-73.978002
1,Confectionery,5.0,131,440 E 9th St,10009,https://www.yelp.com/biz/confectionery-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.72732,-73.98305
2,Mysttik Masaala,5.0,53,21-77 31st St,11105,https://www.yelp.com/biz/mysttik-masaala-astoria-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7764725821216,-73.9106457801393
3,Haswell Green's,4.5,305,240 W 52nd St,10019,https://www.yelp.com/biz/haswell-greens-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.76301,-73.98416
4,Laojie Hotpot,4.5,578,811 53rd St,11220,https://www.yelp.com/biz/laojie-hotpot-brooklyn-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6389709339157,-74.0046846944427
5,Pita Point,5.0,103,508 Marion St,11233,https://www.yelp.com/biz/pita-point-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.68178,-73.90916
6,Faicco's Italian Specialties,4.5,528,260 Bleecker St,10014,https://www.yelp.com/biz/faiccos-italian-specialties-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.73113,-74.00306
7,M & P Biancamano,4.5,195,1116 Washington St,07030,https://www.yelp.com/biz/m-and-p-biancamano-hoboken?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.75066,-74.02719
8,Top Thai Greenwich,4.5,1467,235 Sullivan St,10012,https://www.yelp.com/biz/top-thai-greenwich-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.729771,-73.999392
9,Orchard Grocer,4.5,216,78 Orchard St,10002,https://www.yelp.com/biz/orchard-grocer-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.717744,-73.990187
