,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,The Food Sermon Kitchen,4.5,260,141 Flushing Ave,11205,https://www.yelp.com/biz/the-food-sermon-kitchen-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6985551,-73.9712029
1,Per Se,4.5,1649,10 Columbus Cir,10019,https://www.yelp.com/biz/per-se-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7681528889558,-73.9827629623657
2,Ruffian,4.5,210,125 E 7th St,10009,https://www.yelp.com/biz/ruffian-new-york-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7264,-73.98411
3,Square 1,4.5,176,283 St Pauls Ave,07306,https://www.yelp.com/biz/square-1-jersey-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7376095,-74.0647848
4,Tava Turkish Mediterranean,4.5,180,318 5th Ave,11215,https://www.yelp.com/biz/tava-turkish-mediterranean-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.673165,-73.983292
5,Kura,4.5,473,130 St Marks Pl,10009,https://www.yelp.com/biz/kura-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.726709,-73.9835794
6,Tap Haus 33,4.5,188,14 E 33rd St,10016,https://www.yelp.com/biz/tap-haus-33-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.747247,-73.9843
7,Lombardo's of Bay Ridge,4.5,129,279 71st St,11209,https://www.yelp.com/biz/lombardos-of-bay-ridge-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.634741,-74.0284259
8,L'Appart,5.0,99,225 Liberty St,10281,https://www.yelp.com/biz/l-appart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.712708,-74.015919
9,La Morada,4.5,168,308 Willis Ave,10454,https://www.yelp.com/biz/la-morada-bronx-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.810552,-73.92142
10,Top Thai Vintage,4.5,202,55 Carmine St,10014,https://www.yelp.com/biz/top-thai-vintage-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.729947,-74.004227
11,Bucket & Bay Craft Gelato,4.5,438,150 Bay St,07302,https://www.yelp.com/biz/bucket-and-bay-craft-gelato-jersey-city-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7208162924477,-74.0401605478851
12,Kudo Society Cafe,4.5,341,138 W Central Blvd,07650,https://www.yelp.com/biz/kudo-society-cafe-palisades-park-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.85112,-74.00307
13,The Simone,5.0,91,151 E 82nd St,10028,https://www.yelp.com/biz/the-simone-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.77682,-73.95698
14,Kati Shop,4.5,158,162 E 55th St,10022,https://www.yelp.com/biz/kati-shop-new-york-7?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.75899,-73.96883
15,La Parisienne,4.5,473,9 Maiden Ln,10038,https://www.yelp.com/biz/la-parisienne-new-york-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.70961,-74.0093799
16,Ray's Candy Store,4.5,402,113 Avenue A,10009,https://www.yelp.com/biz/rays-candy-store-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7262776243945,-73.9835707495258
17,Lowerline,4.5,170,794 Washington Ave,11238,https://www.yelp.com/biz/lowerline-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.67421,-73.96324
18,Buena Vista Restaurant & Bar,4.5,188,536 9th Ave,10018,https://www.yelp.com/biz/buena-vista-restaurant-and-bar-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.75686,-73.99356
