,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,Bobwhite Counter,5.0,55,150 Warren St,07302,https://www.yelp.com/biz/bobwhite-counter-jersey-city-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7123084568659,-74.0398424590443
1,Taco Mahal,4.5,577,73 7th Ave S,10014,https://www.yelp.com/biz/taco-mahal-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.732337,-74.003303
2,Ninja Sushi,4.5,246,75 Washington Ave,07110,https://www.yelp.com/biz/ninja-sushi-nutley?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.8089392144319,-74.1470579258698
3,The Jolly Goat Coffee Bar,4.5,346,515 W 47th St,10036,https://www.yelp.com/biz/the-jolly-goat-coffee-bar-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7633788826172,-73.9939211390981
4,Porto Salvo,4.5,140,424 E 161st St,10451,https://www.yelp.com/biz/porto-salvo-bronx?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.82368,-73.91294
5,Matthew's Italian Restaurant,4.5,420,1131 Bloomfield Ave,07012,https://www.yelp.com/biz/matthews-italian-restaurant-clifton?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.8390353933391,-74.1616866576499
6,Sake kawa,4.5,82,32-05 36th Ave,11106,https://www.yelp.com/biz/sake-kawa-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7563,-73.92855
7,Sabry's,4.5,275,2425 Steinway St,11103,https://www.yelp.com/biz/sabrys-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.76828,-73.91106
8,Adel's Famous Halal Food,4.5,252,49th & 6th,10019,https://www.yelp.com/biz/adels-famous-halal-food-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.76394,-73.99193
9,El Kallejon,4.5,299,209 E 117th St,10035,https://www.yelp.com/biz/el-kallejon-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.798538,-73.938805
10,51st Bakery and Cafe,4.5,173,5-33 51st Ave,11101,https://www.yelp.com/biz/51st-bakery-and-cafe-long-island-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7422765542239,-73.9553309153442
11,The Wild Son,4.5,485,132 First Ave,10009,https://www.yelp.com/biz/the-wild-son-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7274064,-73.9851423
12,Carmines Italian Deli,4.5,142,165 Mallory Ave,07304,https://www.yelp.com/biz/carmines-italian-deli-jersey-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.72018,-74.08793
