,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,Green Zenphony,4.5,204,95-26 Queens Blvd,11374,https://www.yelp.com/biz/green-zenphony-rego-park-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.730219,-73.863865
1,Botte Bar,4.5,95,25-07 Broadway,11106,https://www.yelp.com/biz/botte-bar-astoria-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7633418050593,-73.9281750915024
2,The Factory 380,4.5,72,380 3rd Ave,10016,https://www.yelp.com/biz/the-factory-380-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.74164,-73.98132
3,Silver Rice,4.5,271,638 Park Pl,11238,https://www.yelp.com/biz/silver-rice-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6742123562615,-73.9568891376257
4,Zyara NY,4.5,181,57 Clinton St,10002,https://www.yelp.com/biz/zyara-ny-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.71964,-73.98507
5,Kimbap Lab,5.0,36,238 Bedford Ave,11249,https://www.yelp.com/biz/kimbap-lab-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.71611,-73.95974
6,Barboncino Pizza & Bar,4.0,960,781 Franklin Ave,11238,https://www.yelp.com/biz/barboncino-pizza-and-bar-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.67206,-73.95717
7,Smith Gourmet Deli,5.0,32,126 Smith St,11201,https://www.yelp.com/biz/smith-gourmet-deli-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.68751,-73.99007
8,Snack Stop,5.0,34,316 Broad Ave,07605,https://www.yelp.com/biz/snack-stop-leonia?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.8615827021908,-73.9883024441803
9,Silver Light Tavern,4.5,59,689 Lorimer St,11211,https://www.yelp.com/biz/silver-light-tavern-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.71747,-73.95005
