,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,Slimak,4.5,168,4110 4th Ave,11232,https://www.yelp.com/biz/slimak-brooklyn-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.65143,-74.00787
1,Okonomi,4.5,457,150 Ainslie St,11211,https://www.yelp.com/biz/okonomi-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.712622,-73.9487843
2,Cap't Loui,4.5,288,210 Main St,07024,https://www.yelp.com/biz/capt-loui-fort-lee-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.85103,-73.97069
3,IL Triangolo,4.5,459,96-01 Corona Ave,11368,https://www.yelp.com/biz/il-triangolo-corona-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.742591,-73.86736
4,Mastro's Steakhouse,4.0,706,1285 Ave Of The Americas,10019,https://www.yelp.com/biz/mastros-steakhouse-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.761105,-73.980164
5,Eim Khao Mun Kai Elmhurst,4.5,433,81-32 Broadway,11373,https://www.yelp.com/biz/eim-khao-mun-kai-elmhurst-elmhurst?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7429414097644,-73.8832733356575
6,Defonte's of Staten Island,4.5,97,95 Water St,10304,https://www.yelp.com/biz/defontes-of-staten-island-staten-island-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6268107804371,-74.0766029467435
7,Zest Ramen,4.5,246,112 Eldridge St,10002,https://www.yelp.com/biz/zest-ramen-new-york-8?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.71816,-73.99186
8,Mother Earth,4.5,62,116-03 Metropolitan Ave,11418,https://www.yelp.com/biz/mother-earth-richmond-hill?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7077219531475,-73.8358749076724
9,Da Claudio,4.5,475,21 Ann St,10038,https://www.yelp.com/biz/da-claudio-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.71087,-74.00753
